model_id,optimal_model_id,channel,date,spend,revenue
UK B&M,1_100_1,Bing,2022-01-01,98.87044660206863,197.8462924374834
UK B&M,1_100_1,Bing,2022-01-02,77.95155235961292,83.48820051699309
UK B&M,1_100_1,Bing,2022-01-03,130.90840033285258,139.40412126484694
UK B&M,1_100_1,Bing,2022-01-04,99.87988096498253,150.97747790244847
UK B&M,1_100_1,Bing,2022-01-05,129.65361497753423,123.19641935111157
UK B&M,1_100_1,Bing,2022-01-06,119.28591710890602,150.928250592379
UK B&M,1_100_1,Bing,2022-01-07,76.05583928377668,98.27530920794153
UK B&M,1_100_1,Bing,2022-01-08,105.51834420939856,111.6054452367088
UK B&M,1_100_1,Bing,2022-01-09,87.03116422640957,167.0256069040875
UK B&M,1_100_1,Bing,2022-01-10,136.26938179078996,128.12291708290925
UK B&M,1_100_1,Bing,2022-01-11,86.10640151439569,92.46571377563575
UK B&M,1_100_1,Bing,2022-01-12,100.49944935509166,105.26620459497765
UK B&M,1_100_1,Bing,2022-01-13,111.21185580568584,153.91964808625238
UK B&M,1_100_1,Bing,2022-01-14,92.73261743931222,111.93640362012638
UK B&M,1_100_1,Bing,2022-01-15,78.19635960295994,140.6929326345505
UK B&M,1_100_1,Bing,2022-01-16,110.78020969750965,113.29543976593678
UK B&M,1_100_1,Bing,2022-01-17,112.25983172997647,153.41961011799674
UK B&M,1_100_1,Bing,2022-01-18,75.54937871921895,134.30543421231982
UK B&M,1_100_1,Bing,2022-01-19,97.85576086440953,171.71468990437393
UK B&M,1_100_1,Bing,2022-01-20,57.47049314737096,126.66929975054728
UK B&M,1_100_1,Bing,2022-01-21,110.50927757939208,95.93585648094732
UK B&M,1_100_1,Bing,2022-01-22,83.67350502210482,111.75446365533807
UK B&M,1_100_1,Bing,2022-01-23,104.91375784138206,119.24325742879829
UK B&M,1_100_1,Bing,2022-01-24,92.42259579754185,144.28564023202773
UK B&M,1_100_1,Bing,2022-01-25,96.31350068193626,149.15702958184016
UK B&M,1_100_1,Bing,2022-01-26,47.319576924889475,109.12138350669107
UK B&M,1_100_1,Bing,2022-01-27,78.92012140165414,136.63490696450685
UK B&M,1_100_1,Bing,2022-01-28,81.74318082469088,135.7662453250069
UK B&M,1_100_1,Bing,2022-01-29,101.60451200122321,91.17347079903288
UK B&M,1_100_1,Bing,2022-01-30,118.4635980953654,98.46125525922702
UK B&M,1_100_1,Bing,2022-01-31,102.84157277249656,111.8745759773739
UK B&M,1_100_1,Bing,2022-02-01,68.0922304266101,119.99038293089387
UK B&M,1_100_1,Bing,2022-02-02,87.49685073240516,112.85315147666827
UK B&M,1_100_1,Bing,2022-02-03,108.16281830060014,134.17963146992864
UK B&M,1_100_1,Bing,2022-02-04,115.60609613112645,83.20285483816853
UK B&M,1_100_1,Bing,2022-02-05,107.86610943970067,128.84214845214356
UK B&M,1_100_1,Bing,2022-02-06,92.02929442764906,156.51690886729122
UK B&M,1_100_1,Bing,2022-02-07,99.76012069821884,129.24089837929873
UK B&M,1_100_1,Bing,2022-02-08,99.76341880435959,131.6272507287717
UK B&M,1_100_1,Bing,2022-02-09,102.45414690724216,95.64341090794568
UK B&M,1_100_1,Bing,2022-02-10,79.03584245725989,115.06356670349332
UK B&M,1_100_1,Bing,2022-02-11,93.39610694023003,108.19795793122486
UK B&M,1_100_1,Bing,2022-02-12,121.38309812380172,143.26298099634474
UK B&M,1_100_1,Bing,2022-02-13,114.76255866796777,123.10222512749426
UK B&M,1_100_1,Bing,2022-02-14,121.07324363755879,112.38740626181755
UK B&M,1_100_1,Bing,2022-02-15,58.85539978498986,158.02109860694958
UK B&M,1_100_1,Bing,2022-02-16,103.4853776795182,175.13814756959934
UK B&M,1_100_1,Bing,2022-02-17,125.18579368379292,165.30278991839228
UK B&M,1_100_1,Bing,2022-02-18,89.62340722125631,107.20636023748852
UK B&M,1_100_1,Bing,2022-02-19,103.74362628618843,136.09852470156034
UK B&M,1_100_1,Bing,2022-02-20,119.56449747905155,129.28004142782964
UK B&M,1_100_1,Bing,2022-02-21,66.94397521144222,95.28175663227029
UK B&M,1_100_1,Bing,2022-02-22,117.99144701930152,116.31328506806229
UK B&M,1_100_1,Bing,2022-02-23,86.3240075081468,111.45837162066917
UK B&M,1_100_1,Bing,2022-02-24,93.57789397738445,140.8925229594236
UK B&M,1_100_1,Bing,2022-02-25,133.8607475547754,115.8790140535875
UK B&M,1_100_1,Bing,2022-02-26,93.14222353773579,113.42688618060299
UK B&M,1_100_1,Bing,2022-02-27,98.38920993057997,113.65191046809528
UK B&M,1_100_1,Bing,2022-02-28,92.09593892596251,147.4689792139844
UK B&M,1_100_1,Bing,2022-03-01,102.70558757756305,113.15104203086025
UK B&M,1_100_1,Bing,2022-03-02,116.38569859447873,143.097315481188
UK B&M,1_100_1,Bing,2022-03-03,60.828104871545676,119.80769081932809
UK B&M,1_100_1,Bing,2022-03-04,78.38873563924744,152.2656276236068
UK B&M,1_100_1,Bing,2022-03-05,71.07218414563596,108.28419292467467
UK B&M,1_100_1,Bing,2022-03-06,104.3139909807614,122.51715994401424
UK B&M,1_100_1,Bing,2022-03-07,103.6195315077188,147.7586994418422
UK B&M,1_100_1,Bing,2022-03-08,96.29566191627448,116.5714290093682
UK B&M,1_100_1,Bing,2022-03-09,68.40023821952836,116.57864612704623
UK B&M,1_100_1,Bing,2022-03-10,101.95013569336379,105.5494698336357
UK B&M,1_100_1,Bing,2022-03-11,95.86857578354181,104.5888854453721
UK B&M,1_100_1,Bing,2022-03-12,78.61090175377718,144.30114147920585
UK B&M,1_100_1,Bing,2022-03-13,87.13301453446903,108.01425466366501
UK B&M,1_100_1,Bing,2022-03-14,62.54851255376255,145.01626911563002
UK B&M,1_100_1,Bing,2022-03-15,92.2348082332153,109.73875353339159
UK B&M,1_100_1,Bing,2022-03-16,97.5987699686772,119.02526353584642
UK B&M,1_100_1,Bing,2022-03-17,101.24804097650295,120.76038536475596
UK B&M,1_100_1,Bing,2022-03-18,106.97000011418396,119.0689309786774
UK B&M,1_100_1,Bing,2022-03-19,65.96575866643875,176.93307098007193
UK B&M,1_100_1,Bing,2022-03-20,123.41940650352655,106.94185322835096
UK B&M,1_100_1,Bing,2022-03-21,123.5489681726829,102.59504837316109
UK B&M,1_100_1,Bing,2022-03-22,123.28868402223694,121.10475653966164
UK B&M,1_100_1,Bing,2022-03-23,108.38726235544382,103.44807192041799
UK B&M,1_100_1,Bing,2022-03-24,78.58222485373783,106.65294032462656
UK B&M,1_100_1,Bing,2022-03-25,121.50607321702998,170.62984767269336
UK B&M,1_100_1,Bing,2022-03-26,130.7559088777879,121.38955913889984
UK B&M,1_100_1,Bing,2022-03-27,97.75621338767714,112.23956243256549
UK B&M,1_100_1,Bing,2022-03-28,101.91721818270176,168.26156589919137
UK B&M,1_100_1,Bing,2022-03-29,70.80395047713114,167.6139359877145
UK B&M,1_100_1,Bing,2022-03-30,131.41952241597392,123.79956425381822
UK B&M,1_100_1,Bing,2022-03-31,106.24384453310103,130.11699609554898
UK B&M,1_100_1,Bing,2022-04-01,73.55692960075277,120.59811724444688
UK B&M,1_100_1,Bing,2022-04-02,113.80345690127271,108.34522073165752
UK B&M,1_100_1,Bing,2022-04-03,108.13381599688178,135.97798518902016
UK B&M,1_100_1,Bing,2022-04-04,86.37203479988645,134.08543220721913
UK B&M,1_100_1,Bing,2022-04-05,97.78702438954,172.58260171915379
UK B&M,1_100_1,Bing,2022-04-06,101.16844822147687,101.18579458166265
UK B&M,1_100_1,Bing,2022-04-07,100.49106453841675,90.62282408445894
UK B&M,1_100_1,Bing,2022-04-08,84.55021093665529,163.12646012407913
UK B&M,1_100_1,Bing,2022-04-09,121.75188650881879,131.9570700736483
UK B&M,1_100_1,Bing,2022-04-10,95.65735734937167,144.80990979115654
UK B&M,1_100_1,Bing,2022-04-11,87.06716583012462,125.57381944410861
UK B&M,1_100_1,Bing,2022-04-12,137.1238999425354,108.50101357654549
UK B&M,1_100_1,Bing,2022-04-13,90.97493429331902,107.84729725037117
UK B&M,1_100_1,Bing,2022-04-14,88.24009389180688,107.22821932818411
UK B&M,1_100_1,Bing,2022-04-15,92.76110320662112,160.90264417749881
UK B&M,1_100_1,Bing,2022-04-16,105.25705519017848,127.51619756864667
UK B&M,1_100_1,Bing,2022-04-17,83.89301875909639,90.44692822457088
UK B&M,1_100_1,Bing,2022-04-18,81.17276289989204,166.52803840154326
UK B&M,1_100_1,Bing,2022-04-19,78.11840435179762,151.3838788742711
UK B&M,1_100_1,Bing,2022-04-20,108.65081057761061,158.18772465439952
UK B&M,1_100_1,Bing,2022-04-21,72.18675721001088,97.57311191316163
UK B&M,1_100_1,Bing,2022-04-22,101.30501882093463,141.1327206122805
UK B&M,1_100_1,Bing,2022-04-23,163.2027755414506,104.46273600715708
UK B&M,1_100_1,Bing,2022-04-24,119.00105549591748,103.55718628029251
UK B&M,1_100_1,Bing,2022-04-25,74.66944093872364,101.29881098557632
UK B&M,1_100_1,Bing,2022-04-26,84.65416549366141,146.39716141793926
UK B&M,1_100_1,Bing,2022-04-27,64.41422508668862,145.4649483420239
UK B&M,1_100_1,Bing,2022-04-28,71.47050543098906,164.8820231079878
UK B&M,1_100_1,Bing,2022-04-29,101.10113612276828,135.15296317606442
UK B&M,1_100_1,Bing,2022-04-30,111.64899992441403,93.60129107690916
UK B&M,1_100_1,Bing,2022-05-01,81.2576937626909,129.03863152780414
UK B&M,1_100_1,Bing,2022-05-02,146.31853424737844,104.72703593959505
UK B&M,1_100_1,Bing,2022-05-03,119.24146429124957,165.1569524999884
UK B&M,1_100_1,Bing,2022-05-04,103.9009113059887,78.49549853067847
UK B&M,1_100_1,Bing,2022-05-05,121.50720184555294,148.68584071536085
UK B&M,1_100_1,Bing,2022-05-06,71.14653388510119,75.12461500077309
